PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,rho1,id,one,r,s1,W1,Z_HAT,f_wt4
19,1.3731,3,1,4,1,2,0,4,1,0,0,5,0,01,30045,1063.704389,0.6224593312,65,1,0.5283346374,1,396.86128429,2.903647003,1460.5656733
19,0.0000,5,1,2,1,2,0,2,1,0,0,,0,01,30028,484.02313406,0.6899744811,66,1,0.9846517243,0,-484.0231341,2.5412769917,0
19,1.3315,5,2,3,1,2,0,2,0,1,0,3,0,01,30009,3339.4890107,0.7502601056,67,1,0.0700649955,1,1106.9015469,1.9173387801,4446.3905576
19,1.3731,4,1,4,1,2,0,3,1,0,0,5,0,02,30046,3559.2622546,0.6224593312,69,1,0.0469689104,1,1327.9379159,2.7224619973,4887.2001705
19,1.2776,2,3,3,1,2,0,3,0,0,1,0,1,02,30005,277.81899485,0.880797078,70,1,0.501338708,1,77.109467079,1.7753339179,354.92846192
19,1.2776,6,4,2,1,2,0,1,0,1,1,0,0,02,30043,63.860337254,0.880797078,71,1,0.2912219843,1,17.724621658,1.7361537744,81.584958913
19,1.2776,2,3,1,1,1,1,2,0,0,1,0,1,01,30015,228.40558981,0.880797078,72,1,0.4395001095,1,63.394633323,1.2028310318,291.80022314
19,0.0000,4,1,4,1,2,0,3,1,0,0,,0,02,30039,1775.668613,0.6224593312,74,1,0.805746037,0,-1775.668613,2.7224619973,0
19,1.3517,3,1,2,1,2,0,4,1,0,0,4,0,02,30027,1086.3474875,0.6899744811,75,1,0.6035559087,1,382.02531567,2.903647003,1468.3728032
19,0.0000,5,4,2,1,2,0,3,0,1,1,,0,02,30049,4310.8848577,0.880797078,76,1,0.8965867189,0,-4310.884858,2.0985237858,0
19,1.3731,4,1,2,1,2,0,4,1,0,0,5,0,01,30031,686.05899596,0.6224593312,77,1,0.3814053691,1,255.96421059,2.903647003,942.02320655
