PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,p,r
17,1.0473,5,4,2,2,2,0,4,0,1,0,4,0,01,30024,352.28168872,0.6899744811,1
17,1.0457,5,4,4,1,1,1,1,0,1,0,1,0,02,30059,6329.7164263,0.8455347349,1
17,1.1230,4,1,2,1,2,0,3,1,0,0,4,0,02,30053,5087.3666967,0.6899744811,0
17,1.0585,4,2,2,1,1,1,4,0,1,1,0,0,01,30002,892.58521616,0.880797078,1
17,1.0643,5,1,1,1,2,0,3,1,0,0,5,0,02,30035,527.10226688,0.6224593312,1
17,1.0639,3,1,3,1,2,0,2,1,0,0,3,0,02,30024,613.6125116,0.7502601056,1
17,1.0783,1,1,4,1,2,0,5,1,0,0,5,1,02,30011,463.22451151,0.6224593312,1
17,1.3101,2,4,2,1,2,0,3,0,1,0,4,1,01,30017,1154.886012,0.6899744811,1
17,1.0857,3,1,2,1,2,0,3,1,0,0,2,0,02,30009,673.25731601,0.8021838886,0
17,1.0857,3,4,2,1,2,0,3,0,1,1,0,0,02,30019,3497.3863683,0.880797078,1
17,1.0288,5,2,1,1,2,0,1,0,1,0,3,0,02,30054,2336.0821929,0.7502601056,1
17,1.1097,2,1,2,2,2,0,2,1,0,0,3,1,01,30024,3045.2673365,0.7502601056,1
17,1.0201,6,4,1,1,2,0,4,0,1,1,0,0,01,30015,13.94111058,0.880797078,1
17,1.0430,3,1,4,1,2,0,1,1,0,1,0,0,01,30032,1177.0908011,0.880797078,1
17,1.0300,6,3,4,1,2,0,1,0,0,0,4,0,01,30016,108.35278992,0.6899744811,1
17,1.1230,4,1,2,1,2,0,3,1,0,0,3,0,01,30016,170.31405035,0.7502601056,1
17,1.0586,3,1,2,1,1,1,3,1,0,0,3,0,02,30042,937.21317563,0.7502601056,1
17,1.0288,6,1,3,1,2,0,1,1,0,0,2,0,01,30050,1764.5648529,0.8021838886,1
17,1.1325,4,3,3,1,2,0,3,0,0,0,5,0,02,30005,181.64972559,0.6224593312,1
17,1.1039,5,1,4,1,2,0,4,1,0,0,3,0,01,30014,3849.2045019,0.7502601056,1
17,1.0379,4,1,2,1,2,0,5,1,0,0,5,0,01,30021,532.89324796,0.6224593312,1
17,1.0922,5,1,2,1,2,0,2,1,0,0,3,0,01,30020,1707.3263734,0.7502601056,1
17,1.1014,1,1,2,1,2,0,1,1,0,0,4,1,01,30017,1260.6579206,0.6899744811,1
17,1.2156,2,1,2,1,2,0,4,1,0,1,0,1,01,30046,2011.1189565,0.880797078,1
17,1.2284,2,3,3,1,1,1,3,0,0,1,0,1,02,30040,1541.1389002,0.880797078,1
17,1.0061,6,1,1,1,1,1,5,1,0,1,0,0,02,30055,750.04609468,0.880797078,1
17,1.0855,4,1,2,1,2,0,4,1,0,1,0,0,02,30048,1077.1071208,0.880797078,1
17,1.1388,2,3,2,1,2,0,1,0,0,0,5,1,01,30041,871.62338893,0.6224593312,0
17,1.0923,3,1,3,1,2,0,3,1,0,0,4,0,02,30055,737.23759476,0.6899744811,1
17,1.0666,3,4,4,1,2,0,2,0,1,0,4,0,02,30015,1.5566806722,0.6899744811,1
17,1.1037,2,2,1,1,2,0,2,0,1,1,0,1,01,30045,599.73885288,0.880797078,1
17,1.0105,6,1,4,2,1,1,1,1,0,0,3,0,01,30029,2554.6663155,0.7502601056,1
17,1.0341,5,1,4,2,2,0,1,1,0,0,4,0,01,30057,2367.6035279,0.6899744811,0
17,1.0126,6,1,2,1,1,1,5,1,0,1,0,0,02,30056,1101.6358217,0.880797078,1
17,1.0855,4,1,2,1,2,0,4,1,0,0,5,0,02,30015,170.43845135,0.6224593312,1
17,1.0464,6,3,4,1,2,0,2,0,0,0,4,0,02,30005,671.91020339,0.6899744811,0
17,1.0598,6,1,2,1,2,0,3,1,0,0,1,0,02,30060,752.42231429,0.8455347349,1
17,1.0598,6,1,2,1,2,0,3,1,0,0,5,0,01,30033,460.1765478,0.6224593312,0
17,1.0446,6,1,3,1,2,0,2,1,0,0,4,0,02,30035,187.82635003,0.6899744811,1
17,1.1557,2,1,4,1,2,0,1,1,0,0,5,1,02,30028,710.7340148,0.6224593312,0
17,1.0593,4,3,3,1,2,0,1,0,0,0,1,0,01,30040,602.61810176,0.8455347349,1
17,1.0283,6,1,2,1,1,1,2,1,0,0,5,0,01,30051,133.23628571,0.6224593312,1
17,1.0183,4,2,1,1,2,0,5,0,1,1,0,0,01,30010,3080.568182,0.880797078,1
17,1.0550,4,1,2,1,2,0,1,1,0,0,3,0,02,30056,1418.8745042,0.7502601056,0
17,1.0328,5,1,1,2,2,0,3,1,0,0,2,0,02,30046,1897.4014624,0.8021838886,0
17,1.0415,6,1,2,1,2,0,4,1,0,0,3,0,01,30023,193.58021651,0.7502601056,0
17,1.0464,6,1,4,1,2,0,2,1,0,0,4,0,01,30028,5180.7590165,0.6899744811,1
17,1.0093,4,4,1,2,2,0,5,0,1,0,5,0,01,30025,3199.2606571,0.6224593312,1
17,1.1494,5,1,4,1,2,0,3,1,0,1,0,0,01,30055,1182.5436433,0.880797078,1
